date,industry,avg_hourly_earnings
2022-01-01,Construction,33.83
2022-01-01,Education & Health Services,31.27
2022-01-01,Financial Activities,40.86
2022-01-01,Information,45.09
2022-01-01,Leisure & Hospitality,19.46
2022-01-01,Manufacturing,30.53
2022-01-01,Mining & Logging,35.31
2022-01-01,Professional & Business Services,37.88
2022-01-01,Retail Trade,22.57
2022-02-01,Construction,33.96
2022-02-01,Education & Health Services,31.33
2022-02-01,Financial Activities,40.77
2022-02-01,Information,45.37
2022-02-01,Leisure & Hospitality,19.53
2022-02-01,Manufacturing,30.48
2022-02-01,Mining & Logging,35.58
2022-02-01,Professional & Business Services,38.02
2022-02-01,Retail Trade,22.58
2022-03-01,Construction,34.14
2022-03-01,Education & Health Services,31.41
2022-03-01,Financial Activities,41.04
2022-03-01,Information,45.44
2022-03-01,Leisure & Hospitality,19.67
2022-03-01,Manufacturing,30.59
2022-03-01,Mining & Logging,35.74
2022-03-01,Professional & Business Services,38.25
2022-03-01,Retail Trade,22.79
2022-04-01,Construction,34.32
2022-04-01,Education & Health Services,31.53
2022-04-01,Financial Activities,41.19
2022-04-01,Information,45.88
2022-04-01,Leisure & Hospitality,19.84
2022-04-01,Manufacturing,30.78
2022-04-01,Mining & Logging,35.04
2022-04-01,Professional & Business Services,38.51
2022-04-01,Retail Trade,22.78
2022-05-01,Construction,34.54
2022-05-01,Education & Health Services,31.66
2022-05-01,Financial Activities,41.26
2022-05-01,Information,46.24
2022-05-01,Leisure & Hospitality,20.04
2022-05-01,Manufacturing,30.81
2022-05-01,Mining & Logging,35.42
2022-05-01,Professional & Business Services,38.64
2022-05-01,Retail Trade,22.84
2022-06-01,Construction,34.71
2022-06-01,Education & Health Services,31.83
2022-06-01,Financial Activities,41.47
2022-06-01,Information,46.54
2022-06-01,Leisure & Hospitality,20.07
2022-06-01,Manufacturing,30.81
2022-06-01,Mining & Logging,35.84
2022-06-01,Professional & Business Services,38.74
2022-06-01,Retail Trade,22.9
2022-07-01,Construction,34.82
2022-07-01,Education & Health Services,32.02
2022-07-01,Financial Activities,41.63
2022-07-01,Information,46.7
2022-07-01,Leisure & Hospitality,20.21
2022-07-01,Manufacturing,30.92
2022-07-01,Mining & Logging,36.33
2022-07-01,Professional & Business Services,38.92
2022-07-01,Retail Trade,23.09
2022-08-01,Construction,34.93
2022-08-01,Education & Health Services,32.1
2022-08-01,Financial Activities,41.69
2022-08-01,Information,47.24
2022-08-01,Leisure & Hospitality,20.33
2022-08-01,Manufacturing,31.03
2022-08-01,Mining & Logging,36.26
2022-08-01,Professional & Business Services,39.0
2022-08-01,Retail Trade,23.09
2022-09-01,Construction,35.11
2022-09-01,Education & Health Services,32.11
2022-09-01,Financial Activities,41.96
2022-09-01,Information,47.88
2022-09-01,Leisure & Hospitality,20.43
2022-09-01,Manufacturing,31.13
2022-09-01,Mining & Logging,36.37
2022-09-01,Professional & Business Services,39.08
2022-09-01,Retail Trade,23.16
2022-10-01,Construction,35.27
2022-10-01,Education & Health Services,32.28
2022-10-01,Financial Activities,42.03
2022-10-01,Information,47.58
2022-10-01,Leisure & Hospitality,20.51
2022-10-01,Manufacturing,31.3
2022-10-01,Mining & Logging,36.36
2022-10-01,Professional & Business Services,39.24
2022-10-01,Retail Trade,23.31
2022-11-01,Construction,35.45
2022-11-01,Education & Health Services,32.45
2022-11-01,Financial Activities,42.11
2022-11-01,Information,47.31
2022-11-01,Leisure & Hospitality,20.62
2022-11-01,Manufacturing,31.37
2022-11-01,Mining & Logging,36.53
2022-11-01,Professional & Business Services,39.39
2022-11-01,Retail Trade,23.47
2022-12-01,Construction,35.65
2022-12-01,Education & Health Services,32.57
2022-12-01,Financial Activities,42.39
2022-12-01,Information,47.66
2022-12-01,Leisure & Hospitality,20.79
2022-12-01,Manufacturing,31.48
2022-12-01,Mining & Logging,36.82
2022-12-01,Professional & Business Services,39.53
2022-12-01,Retail Trade,23.42
2023-01-01,Construction,35.6
2023-01-01,Education & Health Services,32.63
2023-01-01,Financial Activities,42.49
2023-01-01,Information,47.75
2023-01-01,Leisure & Hospitality,20.8
2023-01-01,Manufacturing,31.66
2023-01-01,Mining & Logging,36.99
2023-01-01,Professional & Business Services,39.68
2023-01-01,Retail Trade,23.53
2023-02-01,Construction,35.88
2023-02-01,Education & Health Services,32.66
2023-02-01,Financial Activities,42.53
2023-02-01,Information,47.95
2023-02-01,Leisure & Hospitality,20.83
2023-02-01,Manufacturing,31.68
2023-02-01,Mining & Logging,37.13
2023-02-01,Professional & Business Services,39.85
2023-02-01,Retail Trade,23.74
2023-03-01,Construction,36.0
2023-03-01,Education & Health Services,32.84
2023-03-01,Financial Activities,42.69
2023-03-01,Information,48.14
2023-03-01,Leisure & Hospitality,20.87
2023-03-01,Manufacturing,31.84
2023-03-01,Mining & Logging,37.39
2023-03-01,Professional & Business Services,40.01
2023-03-01,Retail Trade,23.66
2023-04-01,Construction,36.13
2023-04-01,Education & Health Services,32.93
2023-04-01,Financial Activities,42.73
2023-04-01,Information,48.06
2023-04-01,Leisure & Hospitality,20.99
2023-04-01,Manufacturing,32.02
2023-04-01,Mining & Logging,37.69
2023-04-01,Professional & Business Services,40.26
2023-04-01,Retail Trade,23.8
2023-05-01,Construction,36.28
2023-05-01,Education & Health Services,32.99
2023-05-01,Financial Activities,42.92
2023-05-01,Information,48.33
2023-05-01,Leisure & Hospitality,21.08
2023-05-01,Manufacturing,32.14
2023-05-01,Mining & Logging,38.01
2023-05-01,Professional & Business Services,40.3
2023-05-01,Retail Trade,23.78
2023-06-01,Construction,36.35
2023-06-01,Education & Health Services,33.1
2023-06-01,Financial Activities,43.26
2023-06-01,Information,48.36
2023-06-01,Leisure & Hospitality,21.23
2023-06-01,Manufacturing,32.38
2023-06-01,Mining & Logging,37.96
2023-06-01,Professional & Business Services,40.51
2023-06-01,Retail Trade,23.89
2023-07-01,Construction,36.72
2023-07-01,Education & Health Services,33.23
2023-07-01,Financial Activities,43.59
2023-07-01,Information,48.47
2023-07-01,Leisure & Hospitality,21.28
2023-07-01,Manufacturing,32.56
2023-07-01,Mining & Logging,38.21
2023-07-01,Professional & Business Services,40.75
2023-07-01,Retail Trade,23.94
2023-08-01,Construction,36.8
2023-08-01,Education & Health Services,33.29
2023-08-01,Financial Activities,43.9
2023-08-01,Information,48.37
2023-08-01,Leisure & Hospitality,21.3
2023-08-01,Manufacturing,32.6
2023-08-01,Mining & Logging,38.3
2023-08-01,Professional & Business Services,40.71
2023-08-01,Retail Trade,24.0
2023-09-01,Construction,36.87
2023-09-01,Education & Health Services,33.44
2023-09-01,Financial Activities,44.12
2023-09-01,Information,48.59
2023-09-01,Leisure & Hospitality,21.36
2023-09-01,Manufacturing,32.77
2023-09-01,Mining & Logging,38.82
2023-09-01,Professional & Business Services,40.78
2023-09-01,Retail Trade,24.14
2023-10-01,Construction,37.02
2023-10-01,Education & Health Services,33.51
2023-10-01,Financial Activities,44.23
2023-10-01,Information,48.68
2023-10-01,Leisure & Hospitality,21.47
2023-10-01,Manufacturing,32.86
2023-10-01,Mining & Logging,38.71
2023-10-01,Professional & Business Services,40.9
2023-10-01,Retail Trade,24.05
2023-11-01,Construction,37.2
2023-11-01,Education & Health Services,33.51
2023-11-01,Financial Activities,44.42
2023-11-01,Information,48.92
2023-11-01,Leisure & Hospitality,21.54
2023-11-01,Manufacturing,33.05
2023-11-01,Mining & Logging,38.69
2023-11-01,Professional & Business Services,41.03
2023-11-01,Retail Trade,24.04
2023-12-01,Construction,37.27
2023-12-01,Education & Health Services,33.56
2023-12-01,Financial Activities,44.52
2023-12-01,Information,49.1
2023-12-01,Leisure & Hospitality,21.58
2023-12-01,Manufacturing,33.23
2023-12-01,Mining & Logging,38.91
2023-12-01,Professional & Business Services,41.18
2023-12-01,Retail Trade,24.21
2024-01-01,Construction,37.51
2024-01-01,Education & Health Services,33.72
2024-01-01,Financial Activities,44.79
2024-01-01,Information,49.1
2024-01-01,Leisure & Hospitality,21.67
2024-01-01,Manufacturing,33.33
2024-01-01,Mining & Logging,39.15
2024-01-01,Professional & Business Services,41.41
2024-01-01,Retail Trade,24.24
2024-02-01,Construction,37.54
2024-02-01,Education & Health Services,33.77
2024-02-01,Financial Activities,44.96
2024-02-01,Information,49.14
2024-02-01,Leisure & Hospitality,21.75
2024-02-01,Manufacturing,33.41
2024-02-01,Mining & Logging,39.41
2024-02-01,Professional & Business Services,41.47
2024-02-01,Retail Trade,24.34
2024-03-01,Construction,37.77
2024-03-01,Education & Health Services,33.93
2024-03-01,Financial Activities,45.07
2024-03-01,Information,49.37
2024-03-01,Leisure & Hospitality,21.79
2024-03-01,Manufacturing,33.57
2024-03-01,Mining & Logging,39.3
2024-03-01,Professional & Business Services,41.68
2024-03-01,Retail Trade,24.3
2024-04-01,Construction,37.99
2024-04-01,Education & Health Services,34.04
2024-04-01,Financial Activities,45.26
2024-04-01,Information,49.43
2024-04-01,Leisure & Hospitality,21.85
2024-04-01,Manufacturing,33.61
2024-04-01,Mining & Logging,39.71
2024-04-01,Professional & Business Services,41.84
2024-04-01,Retail Trade,24.3
2024-05-01,Construction,38.04
2024-05-01,Education & Health Services,34.16
2024-05-01,Financial Activities,45.46
2024-05-01,Information,49.47
2024-05-01,Leisure & Hospitality,21.92
2024-05-01,Manufacturing,33.79
2024-05-01,Mining & Logging,39.63
2024-05-01,Professional & Business Services,41.99
2024-05-01,Retail Trade,24.44
2024-06-01,Construction,38.1
2024-06-01,Education & Health Services,34.32
2024-06-01,Financial Activities,45.58
2024-06-01,Information,49.71
2024-06-01,Leisure & Hospitality,21.98
2024-06-01,Manufacturing,33.99
2024-06-01,Mining & Logging,39.8
2024-06-01,Professional & Business Services,42.19
2024-06-01,Retail Trade,24.46
2024-07-01,Construction,38.29
2024-07-01,Education & Health Services,34.41
2024-07-01,Financial Activities,45.59
2024-07-01,Information,49.99
2024-07-01,Leisure & Hospitality,22.07
2024-07-01,Manufacturing,34.08
2024-07-01,Mining & Logging,39.63
2024-07-01,Professional & Business Services,42.23
2024-07-01,Retail Trade,24.44
2024-08-01,Construction,38.34
2024-08-01,Education & Health Services,34.51
2024-08-01,Financial Activities,45.9
2024-08-01,Information,50.44
2024-08-01,Leisure & Hospitality,22.14
2024-08-01,Manufacturing,34.21
2024-08-01,Mining & Logging,39.69
2024-08-01,Professional & Business Services,42.43
2024-08-01,Retail Trade,24.54
2024-09-01,Construction,38.55
2024-09-01,Education & Health Services,34.66
2024-09-01,Financial Activities,45.97
2024-09-01,Information,50.57
2024-09-01,Leisure & Hospitality,22.18
2024-09-01,Manufacturing,34.29
2024-09-01,Mining & Logging,39.81
2024-09-01,Professional & Business Services,42.7
2024-09-01,Retail Trade,24.6
2024-10-01,Construction,38.69
2024-10-01,Education & Health Services,34.72
2024-10-01,Financial Activities,46.07
2024-10-01,Information,51.19
2024-10-01,Leisure & Hospitality,22.25
2024-10-01,Manufacturing,34.39
2024-10-01,Mining & Logging,39.88
2024-10-01,Professional & Business Services,42.91
2024-10-01,Retail Trade,24.72
2024-11-01,Construction,38.77
2024-11-01,Education & Health Services,34.87
2024-11-01,Financial Activities,46.19
2024-11-01,Information,51.29
2024-11-01,Leisure & Hospitality,22.34
2024-11-01,Manufacturing,34.51
2024-11-01,Mining & Logging,39.96
2024-11-01,Professional & Business Services,43.13
2024-11-01,Retail Trade,24.91
2024-12-01,Construction,38.94
2024-12-01,Education & Health Services,35.01
2024-12-01,Financial Activities,46.47
2024-12-01,Information,51.28
2024-12-01,Leisure & Hospitality,22.42
2024-12-01,Manufacturing,34.56
2024-12-01,Mining & Logging,39.86
2024-12-01,Professional & Business Services,43.31
2024-12-01,Retail Trade,24.87
2025-01-01,Construction,39.07
2025-01-01,Education & Health Services,35.15
2025-01-01,Financial Activities,46.63
2025-01-01,Information,51.56
2025-01-01,Leisure & Hospitality,22.5
2025-01-01,Manufacturing,34.73
2025-01-01,Mining & Logging,40.11
2025-01-01,Professional & Business Services,43.42
2025-01-01,Retail Trade,24.97
2025-02-01,Construction,39.14
2025-02-01,Education & Health Services,35.25
2025-02-01,Financial Activities,46.82
2025-02-01,Information,51.75
2025-02-01,Leisure & Hospitality,22.58
2025-02-01,Manufacturing,34.88
2025-02-01,Mining & Logging,40.11
2025-02-01,Professional & Business Services,43.55
2025-02-01,Retail Trade,25.03
2025-03-01,Construction,39.22
2025-03-01,Education & Health Services,35.34
2025-03-01,Financial Activities,47.11
2025-03-01,Information,51.83
2025-03-01,Leisure & Hospitality,22.73
2025-03-01,Manufacturing,35.25
2025-03-01,Mining & Logging,40.13
2025-03-01,Professional & Business Services,43.67
2025-03-01,Retail Trade,25.21
2025-04-01,Construction,39.33
2025-04-01,Education & Health Services,35.33
2025-04-01,Financial Activities,47.19
2025-04-01,Information,52.01
2025-04-01,Leisure & Hospitality,22.69
2025-04-01,Manufacturing,35.13
2025-04-01,Mining & Logging,39.89
2025-04-01,Professional & Business Services,43.76
2025-04-01,Retail Trade,25.28
2025-05-01,Construction,39.47
2025-05-01,Education & Health Services,35.5
2025-05-01,Financial Activities,47.45
2025-05-01,Information,52.32
2025-05-01,Leisure & Hospitality,22.68
2025-05-01,Manufacturing,35.31
2025-05-01,Mining & Logging,40.2
2025-05-01,Professional & Business Services,44.0
2025-05-01,Retail Trade,25.3
2025-06-01,Construction,39.64
2025-06-01,Education & Health Services,35.49
2025-06-01,Financial Activities,47.46
2025-06-01,Information,52.54
2025-06-01,Leisure & Hospitality,22.74
2025-06-01,Manufacturing,35.37
2025-06-01,Mining & Logging,40.22
2025-06-01,Professional & Business Services,44.21
2025-06-01,Retail Trade,25.36
2025-07-01,Construction,39.73
2025-07-01,Education & Health Services,35.58
2025-07-01,Financial Activities,47.57
2025-07-01,Information,52.63
2025-07-01,Leisure & Hospitality,22.81
2025-07-01,Manufacturing,35.51
2025-07-01,Mining & Logging,40.33
2025-07-01,Professional & Business Services,44.4
2025-07-01,Retail Trade,25.52
2025-08-01,Construction,39.98
2025-08-01,Education & Health Services,35.75
2025-08-01,Financial Activities,47.75
2025-08-01,Information,52.77
2025-08-01,Leisure & Hospitality,22.92
2025-08-01,Manufacturing,35.58
2025-08-01,Mining & Logging,40.44
2025-08-01,Professional & Business Services,44.62
2025-08-01,Retail Trade,25.59
2025-09-01,Construction,40.01
2025-09-01,Education & Health Services,35.69
2025-09-01,Financial Activities,47.93
2025-09-01,Information,53.06
2025-09-01,Leisure & Hospitality,23.0
2025-09-01,Manufacturing,35.7
2025-09-01,Mining & Logging,40.32
2025-09-01,Professional & Business Services,44.74
2025-09-01,Retail Trade,25.63
2025-10-01,Construction,40.14
2025-10-01,Education & Health Services,35.95
2025-10-01,Financial Activities,48.18
2025-10-01,Information,53.27
2025-10-01,Leisure & Hospitality,23.01
2025-10-01,Manufacturing,35.87
2025-10-01,Mining & Logging,40.64
2025-10-01,Professional & Business Services,44.9
2025-10-01,Retail Trade,25.72
2025-11-01,Construction,40.27
2025-11-01,Education & Health Services,36.12
2025-11-01,Financial Activities,48.4
2025-11-01,Information,53.46
2025-11-01,Leisure & Hospitality,23.17
2025-11-01,Manufacturing,35.99
2025-11-01,Mining & Logging,40.7
2025-11-01,Professional & Business Services,44.92
2025-11-01,Retail Trade,25.91
2025-12-01,Construction,40.45
2025-12-01,Education & Health Services,35.94
2025-12-01,Financial Activities,48.38
2025-12-01,Information,53.96
2025-12-01,Leisure & Hospitality,23.28
2025-12-01,Manufacturing,36.07
2025-12-01,Mining & Logging,40.69
2025-12-01,Professional & Business Services,44.96
2025-12-01,Retail Trade,26.01
